,candidate_id,rt_gs_2,rt_gs_3,rt_gs_4,rt_gs_5,rt_gs_6,rt_gs_7,rt_gs_8,rt_gs_9,rt_gs_10,rt_gs_11,rt_gs_12,rt_gs_13,rt_gs_14,rt_gs_15,rt_gs_16,rt_gs_17,rt_gs_18,rt_gs_19,rt_gs_20,rt_total,gs_1,gs_2,gs_3,gs_4,gs_5,gs_6,gs_7,gs_8,gs_9,gs_10,gs_11,gs_12,gs_13,gs_14,gs_15,gs_16,gs_17,gs_18,gs_19,gs_20,sum_score,gender,home_computer,state,age
33,34,25,12,8,11,54,15,13,26,22,14,9,18,8,5,9,8,15,24,9,305,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,17,Female,Yes,CA,32
34,35,24,21,9,10,15,42,10,40,15,16,15,87,10,4,11,22,5,8,6,370,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,Yes,IL,33
35,36,19,31,10,10,13,47,9,51,21,19,46,31,8,4,6,8,5,20,6,364,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,17,Female,Yes,FL,30
36,37,30,33,2562,34,357,104,44,158,25,30,19,65,34,6,15,41,11,14,6,3588,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,PA,27
37,38,48,30,51,14,18,75,46,104,15,75,22,130,10,14,11,33,72,17,8,793,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,17,Male,Yes,CA,29
38,39,46,43,18,40,48,66,21,66,41,48,30,84,42,10,50,59,13,32,9,766,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,16,Male,Yes,AZ,28
39,40,16,31,10,11,559,32,12,31,6,22,15,99,7,3,5,8,3,5,4,879,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,15,Male,Yes,PA,22
40,41,67,39,6,16,18,33,20,122,13,75,12,46,11,7,17,16,9,8,12,547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,MO,29
41,42,3,6,3,8,5,24,6,3,8,4,3,14,8,5,8,4,10,14,7,143,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,11,Female,Yes,FL,24
42,43,90,36,13,13,16,22,14,39,19,57,29,76,11,4,16,30,11,10,6,512,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,18,Male,Yes,AZ,25
43,44,67,125,15,12,45,25,64,33,17,53,71,79,13,9,10,15,31,14,9,707,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,17,Male,Yes,DE,28
44,45,24,17,26,34,28,32,13,128,280,41,10,30,29,17,11,10,6,12,4,752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,NY,24
45,46,38,24,11,16,15,56,10,38,9,29,16,59,14,5,10,18,8,10,5,391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Male,Yes,CO,29
46,47,15,51,18,14,15,44,20,41,16,22,13,65,14,6,11,11,15,16,8,415,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Female,Yes,TN,26
47,48,15,53,10,25,18,36,51,45,8,43,29,37,18,5,6,29,171,10,7,616,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Female,Yes,TX,27
48,49,22,21,6,10,15,39,13,45,15,13,15,50,10,4,13,11,6,11,6,325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,GA,39
49,50,86,21,11,9,15,63,17,83,17,41,14,39,13,5,10,20,7,12,14,497,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,TX,34
50,51,36,30,14,16,25,64,19,104,19,39,28,47,15,8,13,81,11,15,11,595,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Female,No,MD,65
51,52,19,27,13,13,19,50,11,48,27,30,22,46,16,7,12,22,10,31,9,432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,No,OH,49
52,53,26,46,16,23,13,88,11,54,995,15,18,59,12,5,10,15,8,12,7,1433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,OR,27
53,54,24,25,17,11,33,80,15,66,24,40,26,85,16,6,17,44,11,139,14,693,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,14,Female,No,AL,37
54,55,32,28,10,20,19,62,26,36,9,27,13,38,10,5,7,16,7,8,5,378,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,NH,34
55,56,43,33,22,34,49,71,20,100,75,37,24,67,16,10,22,26,15,25,18,707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,FL,46
56,57,24,18,10,10,19,42,12,51,17,28,16,30,11,7,7,12,8,13,7,342,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,No,KY,56
57,58,29,44,10,15,32,37,15,53,30,45,21,42,11,10,11,25,12,16,6,464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,TN,61
58,59,24,36,15,21,32,36,9,46,13,55,13,28,30,9,13,21,11,8,8,428,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,No,NJ,51
59,60,16,17,14,12,23,41,12,21,17,19,13,42,8,5,8,12,7,15,6,308,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,MN,35
60,61,40,40,23,23,24,90,37,123,22,59,17,152,43,10,12,21,11,16,15,778,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19,Male,No,NV,73
61,62,34,40,13,17,22,64,16,45,16,30,45,45,18,8,18,16,11,20,9,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,CA,46
62,63,179,35,24,17,103,285,34,280,26,84,31,67,13,8,11,24,20,14,8,1263,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Female,No,AL,40
63,64,71,25,11,11,16,141,38,19,39,18,17,39,20,12,7,12,6,15,4,521,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,18,Male,Yes,FL,33
64,65,25,40,15,10,13,80,45,83,53,37,27,46,12,5,10,24,7,9,7,548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,No,MS,37
65,66,9,5,14,30,195,21,41,3,6,10,3,4,5,3,5,5,3,6,5,373,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,6,Female,No,TN,49
66,67,57,50,39,69,20,64,29,62,38,45,35,33,28,12,15,32,17,33,7,685,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,14,Male,Yes,GA,24
67,68,22,30,14,9,25,53,9,51,11,24,13,45,21,5,13,24,8,13,7,397,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,Yes,FL,28
68,69,45,20,14,13,27,75,16,62,25,31,19,117,12,7,16,35,11,11,9,565,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,OH,61
69,70,33,43,18,13,17,92,10,79,25,54,18,68,10,7,58,48,7,26,9,635,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,18,Male,Yes,MD,24
70,71,26,50,13,13,29,48,22,75,31,49,20,62,21,16,11,50,9,10,7,562,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,17,Female,Yes,TN,34
71,72,58,29,14,16,34,67,20,93,24,23,20,51,29,6,11,31,8,9,7,550,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,17,Male,Yes,LA,38
72,73,16,23,9,11,15,41,13,36,10,16,12,26,14,5,8,13,10,10,7,295,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,CA,53
73,74,9,11,7,7,9,20,5,27,7,12,8,20,7,4,5,5,5,8,5,181,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,NJ,45
74,75,50,20,9,11,14,40,14,68,10,28,12,33,12,7,14,17,9,18,5,391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,MA,27
75,76,59,43,18,15,106,70,20,56,21,50,19,62,22,10,21,55,12,13,12,684,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,NC,36
76,77,25,30,24,24,23,68,19,75,28,28,33,52,18,8,10,20,20,19,12,536,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,15,Female,No,CA,43
77,78,30,22,15,18,22,41,16,65,20,18,17,77,14,10,15,26,11,11,16,464,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,WA,53
78,79,28,34,6,8,24,33,12,15,9,29,15,48,5,4,9,27,4,18,4,332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Male,Yes,WA,27
79,80,62,29,13,33,32,63,17,56,22,38,25,112,75,7,9,32,10,48,6,689,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,17,Male,Yes,TX,41
80,81,59,42,12,15,32,77,19,54,24,28,23,50,14,10,13,34,12,19,10,547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Male,Yes,UT,27
81,82,23,18,7,9,13,37,37,38,18,39,10,37,8,4,9,12,7,9,6,341,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,18,Female,Yes,CA,35
82,83,43,23,15,14,18,48,13,48,21,20,13,61,18,7,13,29,10,9,8,431,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,18,Female,No,CA,61
83,84,22,40,10,14,16,68,14,42,21,23,23,44,18,5,15,12,8,12,6,413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,NV,26
84,85,15,59,7,35,100,48,11,65,17,16,20,158,12,4,9,30,9,13,10,638,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,NY,29
85,86,28,35,13,14,18,48,13,76,13,24,18,43,12,8,16,17,11,18,9,434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Male,Yes,OK,28
86,87,22,32,14,45,89,46,18,84,30,26,19,69,17,6,10,94,7,7,7,642,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,17,Female,No,NJ,53
87,88,19,13,10,10,14,36,11,51,17,24,13,32,12,5,8,11,7,8,7,308,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Male,Yes,VT,34
88,89,41,21,51,17,25,190,10,51,13,26,13,52,8,6,12,27,9,18,6,596,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Male,No,UT,63
89,90,32,22,10,7,15,49,13,189,16,42,13,37,13,4,17,22,7,19,16,543,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Male,Yes,WI,30
90,91,34,36,13,28,24,78,38,72,19,33,26,72,43,5,7,65,7,14,7,621,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,17,Female,Yes,FL,37
91,92,14,11,8,8,11,23,6,10,7,8,8,16,6,5,9,6,4,6,5,171,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Female,Yes,OH,23
92,93,27,20,26,13,25,69,12,66,13,48,13,49,55,5,20,37,11,13,9,531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,KS,37
93,94,13,19,14,18,19,43,11,44,20,23,22,35,20,5,9,13,5,8,9,350,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,17,Male,Yes,TX,42
94,95,19,81,22,17,13,52,27,55,82,29,14,48,34,62,13,42,9,14,9,642,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,19,Female,Yes,WI,39
95,96,40,45,17,13,22,66,19,152,18,32,18,66,18,7,15,14,10,17,10,599,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,WA,36
96,97,32,30,18,19,30,159,12,36,22,32,17,25,30,5,14,15,9,11,6,522,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,14,Male,No,MA,60
97,98,41,97,18,48,22,91,21,76,41,66,124,85,17,6,8,63,10,30,6,870,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,CT,60
98,99,18,23,6,11,26,30,7,34,10,13,9,31,15,3,6,11,6,12,5,276,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,18,Female,Yes,MO,26
99,100,32,87,18,34,54,83,19,74,28,46,17,105,20,5,11,17,8,19,8,685,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,NJ,39
100,101,38,23,8,10,24,23,10,44,18,29,34,42,8,3,12,12,6,12,9,365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Female,Yes,TN,29
101,102,5,6,4,13,6,1159,25,40,16,3134,16,34,18,9,16,10,17,11,6,4545,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,GA,30
102,103,37,50,20,25,35,92,53,91,63,40,18,141,20,6,15,45,11,40,11,813,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,18,Male,Yes,CA,33
103,104,22,18,18,16,25,46,15,48,16,28,13,34,11,6,9,12,8,11,6,362,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,14,Female,No,OH,46
104,105,20,68,10,7,15,88,19,42,10,20,20,24,10,21,6,12,7,44,7,450,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,16,Female,Yes,CA,34
105,106,21,18,12,16,22,40,12,53,13,27,11,26,13,8,12,20,15,9,9,357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,NV,49
106,107,28,31,20,18,24,52,25,32,23,36,14,33,18,6,12,32,9,9,7,429,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,18,Male,Yes,UT,24
107,108,37,40,13,18,21,69,14,94,21,24,16,63,27,8,23,26,17,13,9,553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,CO,34
108,109,21,26,16,30,18,49,21,52,34,52,18,66,16,9,11,20,14,18,11,502,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,18,Female,No,CA,50
109,110,10,11,24,19,19,15,9,30,8,6,7,13,11,6,7,11,7,6,8,227,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,13,Male,No,IL,41
110,111,19,33,11,18,16,32,8,29,11,32,15,25,10,5,19,22,6,12,5,328,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,18,Male,Yes,HI,37
111,112,32,305,11,14,23,36,20,72,29,48,15,38,19,5,11,21,9,15,7,730,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,15,Female,No,OK,35
112,113,24,25,14,15,13,39,13,48,16,16,15,33,14,6,21,17,7,12,12,360,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,TX,33
113,114,19,15,8,13,12,36,26,22,23,25,18,25,22,5,19,12,17,9,4,330,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,18,Female,Yes,FL,24
114,115,28,44,10,10,20,45,12,43,12,23,98,41,10,4,7,16,12,18,5,458,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,NJ,28
115,116,22,77,11,65,14,46,15,46,38,19,17,41,6,5,7,14,8,12,6,469,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,17,Female,Yes,TX,27
116,117,73,24,18,33,31,59,14,58,16,39,36,103,18,8,18,22,9,22,10,611,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,NC,63
117,118,14,22,11,15,19,42,16,59,19,20,14,40,19,6,20,23,9,12,6,386,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,17,Male,Yes,TX,28
118,119,21,16,10,8,11,66,23,35,19,24,10,44,7,5,8,11,7,8,8,341,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,PA,22
119,120,21,24,29,38,16,46,29,76,18,28,15,104,20,8,68,22,7,21,14,604,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,18,Male,Yes,AK,35
120,121,27,16,9,10,15,44,13,54,14,21,13,25,11,5,10,15,7,11,6,326,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,TX,42
121,122,27,20,15,7,15,57,22,74,16,56,12,42,9,4,10,11,5,10,8,420,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,18,Female,No,FL,53
122,123,15,10,6,6,8,26,7,24,10,13,8,24,6,4,9,14,3,11,4,208,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,PA,30
123,124,23,34,19,8,12,15,15,4,11,7,13,25,10,7,11,9,7,10,10,250,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,13,Male,No,AL,47
124,125,19,62,10,37,14,91,25,66,8,36,8,69,6,4,10,27,30,16,10,548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,CA,26
125,126,63,60,22,31,52,75,40,87,38,54,45,62,43,12,38,106,16,15,28,887,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,17,Female,Yes,IL,48
126,127,44,20,10,18,62,56,12,95,44,32,12,78,10,7,10,30,7,8,9,564,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,CA,34
127,128,23,17,8,14,14,59,10,45,12,42,18,34,12,7,10,19,10,13,11,378,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Male,Yes,SC,49
128,129,4,3,5,3,7,3,3,3,3,3,3,3,4,3,3,4,3,3,4,67,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,11,Male,Yes,FL,27
129,130,19,17,12,42,15,27,21,30,16,44,45,22,10,5,29,9,46,8,12,429,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,17,Male,Yes,MI,29
130,131,30,36,11,18,19,46,12,42,49,35,16,62,13,5,14,29,6,8,6,457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Male,No,CA,48
131,132,18,26,12,19,15,46,9,42,15,15,9,40,8,4,9,13,9,11,7,327,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,16,Female,Yes,UT,33
132,133,6,6,8,9,3,3,2,3,3,6,36,3,3,3,3,4,4,3,7,115,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,11,Male,Yes,FL,31
133,134,55,30,19,16,17,48,15,56,20,27,17,57,16,13,14,18,18,18,14,488,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,No,OK,43
134,135,17,26,8,13,25,32,11,99,10,21,11,36,17,5,12,20,8,11,6,388,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,17,Female,Yes,SC,40
135,136,32,24,14,14,17,62,19,58,38,25,20,66,15,7,15,43,10,18,11,508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Male,No,OH,55
136,137,79,110,26,19,120,216,32,132,42,101,30,160,34,8,149,103,16,67,13,1457,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,17,Female,No,RI,35
137,138,32,25,11,18,26,40,11,36,14,17,16,38,11,7,11,17,8,12,7,357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,NC,52
138,139,37,22,29,22,21,53,21,56,22,32,54,46,34,10,11,14,15,30,10,539,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,15,Male,No,WA,46
139,140,31,71,10,8,10,72,6,57,8,33,10,27,17,5,11,12,7,8,4,407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,NY,44
140,141,15,12,15,22,22,55,11,21,27,62,16,97,10,7,12,30,11,52,12,509,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,18,Female,No,KS,49
141,142,26,43,23,18,32,46,14,50,20,23,21,149,27,8,14,40,9,12,8,583,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,CA,35
142,143,16,15,10,12,17,46,34,27,11,23,11,29,13,5,10,12,7,10,5,313,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,MN,32
143,144,19,30,11,73,16,48,9,50,30,25,17,56,13,6,8,12,6,12,10,451,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,MI,25
144,145,37,21,17,24,28,73,24,97,30,47,25,63,25,11,18,34,16,15,51,656,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,17,Male,No,MD,50
145,146,25,56,20,15,26,82,15,113,80,32,15,53,15,5,13,18,7,28,7,625,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,16,Male,Yes,TX,27
146,147,21,20,90,9,13,128,15,74,17,36,31,115,18,6,13,15,14,84,7,726,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,Male,No,TX,35
147,148,20,36,14,13,26,49,28,46,31,34,16,66,19,6,11,31,17,22,10,495,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,15,Female,No,NC,48
148,149,72,34,22,27,23,144,25,83,44,60,32,102,18,21,29,23,17,18,13,807,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,15,Female,No,IL,50
149,150,19,26,8,12,21,34,11,27,15,15,11,28,8,3,8,13,7,8,5,279,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,17,Female,Yes,SC,29
150,151,54,22,10,16,28,105,23,63,17,84,19,39,14,7,10,14,14,12,11,562,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Female,Yes,NY,26
151,152,37,23,10,14,55,78,14,47,22,35,12,64,18,6,11,18,8,11,7,490,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,18,Female,Yes,CA,25
152,153,19,17,15,10,16,30,12,28,11,25,12,26,10,3,6,38,6,7,4,295,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,16,Male,Yes,AL,24
153,154,61,35,16,14,25,105,22,63,15,28,19,46,15,9,11,23,11,22,12,552,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Female,Yes,FL,30
154,155,11,7,6,7,7,24,16,8,7,5,8,9,26,9,21,20,26,18,11,246,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,8,Male,Yes,TX,29
155,156,39,41,15,12,34,56,27,46,14,19,18,59,11,6,15,35,8,15,8,478,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,Female,Yes,WA,32
156,157,12,21,11,6,10,30,8,52,18,13,12,29,7,53,12,65,4,11,4,378,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,18,Male,Yes,NC,21
157,158,20,22,12,9,17,38,18,24,11,18,9,21,11,5,7,10,7,8,6,273,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,MA,60
158,159,78,23,16,8,18,25,16,38,11,36,14,39,8,5,9,15,6,11,7,383,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18,Male,Yes,FL,33
159,160,178,18,32,40,18,134,17,130,26,48,44,160,21,6,11,37,13,13,6,952,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,IN,72
160,161,15,16,11,12,16,22,10,23,21,23,12,30,17,4,12,13,7,10,6,280,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,12,Female,No,OH,37
161,162,44,36,10,34,26,64,10,67,25,35,16,92,9,5,13,23,10,11,6,536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Female,Yes,NY,25
162,163,20,38,9,18,20,51,13,48,19,28,15,56,9,12,11,28,9,15,8,427,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,KS,46
163,164,41,39,9,11,15,128,19,90,19,129,14,60,10,4,9,22,7,11,6,643,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,FL,47
164,165,53,23,13,22,17,42,37,70,21,48,16,34,10,5,7,15,7,24,7,471,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,16,Female,Yes,WI,43
165,166,25,30,37,25,29,57,44,66,202,38,44,46,17,24,49,50,26,29,38,876,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,14,Female,Yes,TN,35
166,167,41,39,16,15,40,133,19,37,18,31,16,61,10,5,11,12,13,11,7,535,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,No,OH,38
167,168,24,93,9,13,50,62,51,64,13,244,13,144,77,5,11,33,10,11,8,935,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,TX,36
168,169,28,42,13,15,30,202,16,47,17,46,12,57,10,5,16,66,9,6,9,646,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,15,Male,Yes,NH,31
169,170,129,31,12,14,24,69,14,45,24,42,32,79,11,6,14,29,18,73,6,672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,NE,46
170,171,37,29,11,12,32,48,15,70,16,30,14,74,20,7,22,39,15,14,9,514,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,15,Female,No,MI,35
171,172,36,27,23,19,24,58,12,97,21,24,21,70,19,6,11,22,6,15,26,537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,MO,34
172,173,32,27,22,19,41,78,56,65,15,47,16,52,21,10,17,76,12,20,15,641,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,18,Female,No,AL,59
